competitor_id,name,country,country_code,abbreviation
sr:competitor:122366,"Tsitsipas, Stefanos",Greece,GRC,TSI
sr:competitor:257721,"Baez, Sebastian",Argentina,ARG,BAE
sr:competitor:399633,"Atmane, Terence",France,FRA,ATM
sr:competitor:47770,"Fucsovics, Marton",Hungary,HUN,FUC
sr:competitor:127208,"Altmaier, Daniel",Germany,DEU,ALT
sr:competitor:655845,"Quinn, Ethan",USA,USA,QUI
sr:competitor:108709,"Majchrzak, Kamil",Poland,POL,MAJ
sr:competitor:130398,"Kecmanovic, Miomir",Serbia,SRB,KEC
sr:competitor:450283,"Mpetshi Perricard, Giovanni",France,FRA,MPE
sr:competitor:210526,"Kopriva, Vit",Czechia,CZE,KOP
sr:competitor:392066,"Navone, Mariano",Argentina,ARG,NAV
sr:competitor:104847,"Sonego, Lorenzo",Italy,ITA,SON
sr:competitor:604344,"Buse, Ignacio",Peru,PER,BUS
sr:competitor:47975,"Hanfmann, Yannick",Germany,DEU,HAN
sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN
sr:competitor:204117,"Ugo Carabelli, Camilo",Argentina,ARG,UGO
sr:competitor:130400,"Opelka, Reilly",USA,USA,OPE
sr:competitor:112783,"Berrettini, Matteo",Italy,ITA,BER
sr:competitor:341220,"Royer, Valentin",France,FRA,ROY
sr:competitor:42379,"Giron, Marcos",USA,USA,GIR
sr:competitor:258735,"Cerundolo, Juan Manuel",Argentina,ARG,CER
sr:competitor:739641,"Collignon, Raphael",Belgium,BEL,COL
sr:competitor:445419,"Cazaux, Arthur",France,FRA,CAZ
sr:competitor:284805,"Nava, Emilio",USA,USA,NAV
sr:competitor:158896,"Hurkacz, Hubert",Poland,POL,HUR
sr:competitor:49172,"Dzumhur, Damir",Bosnia & Herzegovina,BIH,DZU
sr:competitor:472975,"Bellucci, Mattia",Italy,ITA,BEL
sr:competitor:46391,"Struff, Jan-Lennard",Germany,DEU,STR
sr:competitor:448357,"Spizzirri, Eliot",USA,USA,SPI
sr:competitor:39711,"Duckworth, James",Australia,AUS,DUC
sr:competitor:256875,"Tirante, Thiago Agustin",Argentina,ARG,TIR
sr:competitor:341192,"Comesana, Francisco",Argentina,ARG,COM
sr:competitor:407783,"Fearnley, Jacob",Great Britain,GBR,FEA
sr:competitor:371436,"Shevchenko, Alexander",Kazakhstan,KAZ,SHE
sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL
sr:competitor:83397,"Ofner, Sebastian",Austria,AUT,OFN
sr:competitor:248779,"Misolic, Filip",Austria,AUT,MIS
sr:competitor:829282,"Blockx, Alexander",Belgium,BEL,BLO
sr:competitor:16720,"Bautista Agut, Roberto",Spain,ESP,BAU
sr:competitor:88992,"Muller, Alexandre",France,FRA,MUL
sr:competitor:310974,"De Jong, Jesper",Netherlands,NLD,DEJ
sr:competitor:188321,"Kovacevic, Aleksandar",USA,USA,KOV
sr:competitor:124656,"Vukic, Aleksandar",Australia,AUS,VUK
sr:competitor:14548,"Wawrinka, Stan",Switzerland,CHE,WAW
sr:competitor:64570,"Garin, Cristian",Chile,CHL,GAR
sr:competitor:501672,"Svajda, Zachary",USA,USA,SVA
sr:competitor:234046,"Kypson, Patrick",USA,USA,KYP
sr:competitor:299130,"Hijikata, Rinky",Australia,AUS,HIJ
sr:competitor:622876,"Vallejo, Adolfo Daniel",Paraguay,PRY,VAL
sr:competitor:355752,"Svrcina, Dalibor",Czechia,CZE,SVR
sr:competitor:505550,"Arnaldi, Matteo",Italy,ITA,ARN
sr:competitor:443702,"Burruchaga, Roman Andres",Argentina,ARG,BUR
sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON
sr:competitor:108559,"Taberner, Carlos",Spain,ESP,TAB
sr:competitor:604238,"Gaubas, Vilius",Lithuania,LTU,GAU
sr:competitor:658475,"Van Assche, Luca",France,FRA,VAN
sr:competitor:223874,"Gaston, Hugo",France,FRA,GAS
sr:competitor:722429,"Prizmic, Dino",Croatia,HRV,PRI
sr:competitor:972327,"Jodar, Rafael",Spain,ESP,JOD
sr:competitor:247607,"Shimabukuro, Sho",Japan,JPN,SHI
sr:competitor:90798,"Halys, Quentin",France,FRA,HAL
sr:competitor:359608,"Maestrelli, Francesco",Italy,ITA,MAE
sr:competitor:77223,"Martinez, Pedro",Spain,ESP,MAR
sr:competitor:405977,"Schoolkate, Tristan",Australia,AUS,SCH
sr:competitor:601146,"Medjedovic, Hamad",Serbia,SRB,MED
sr:competitor:38517,"Trungelliti, Marco",Argentina,ARG,TRU
sr:competitor:40800,"Carreno Busta, Pablo",Spain,ESP,CAR
sr:competitor:200261,"Wu, Yibing",China,CHN,YIB
sr:competitor:132834,"Barrios Vera, Marcelo Tomas",Chile,CHL,BAR
sr:competitor:449767,"Wong, Coleman","Hong Kong, China",HKG,WON
sr:competitor:87690,"Thompson, Jordan",Australia,AUS,THO
sr:competitor:1084926,"Moller, Elmer",Denmark,DNK,MOL
sr:competitor:105607,"Choinski, Jan",Great Britain,GBR,CHO
sr:competitor:309954,"Droguet, Titouan",France,FRA,DRO
sr:competitor:63438,"McDonald, Mackenzie",USA,USA,MCD
sr:competitor:276563,"Virtanen, Otto",Finland,FIN,VIR
sr:competitor:39234,"Lajovic, Dusan",Serbia,SRB,LAJ
sr:competitor:93597,"Pellegrino, Andrea",Italy,ITA,PEL
sr:competitor:503814,"Mochizuki, Shintaro",Japan,JPN,MOC
sr:competitor:58221,"O'Connell, Christopher",Australia,AUS,OCO
sr:competitor:682913,"Rocha, Henrique",Portugal,PRT,ROC
sr:competitor:287541,"Sweeny, Dane",Australia,AUS,SWE
sr:competitor:51345,"Damm Jr, Martin",USA,USA,DAM
sr:competitor:26204,"Basilashvili, Nikoloz",Georgia,GEO,BAS
sr:competitor:673479,"Merida, Daniel",Spain,ESP,MER
sr:competitor:603104,"Pinnington Jones, Jack",Great Britain,GBR,PIN
sr:competitor:943619,"Budkov Kjaer, Nicolai",Norway,NOR,BUD
sr:competitor:111837,"Harris, Billy",Great Britain,GBR,HAR
sr:competitor:450477,"Nardi, Luca",Italy,ITA,NAR
sr:competitor:226036,"Tseng, Chun Hsin",Chinese Taipei,TPE,TSE
sr:competitor:153826,"Echargui, Moez",Tunisia,TUN,ECH
sr:competitor:268553,"Rodesch, Chris",Luxembourg,LUX,ROD
sr:competitor:353530,"Passaro, Francesco",Italy,ITA,PAS
sr:competitor:801374,"Gea, Arthur",France,FRA,GEA
sr:competitor:807574,"Zheng, Michael",USA,USA,ZHE
sr:competitor:382058,"Jacquet, Kyrian",France,FRA,JAC
sr:competitor:263917,"Draxl, Liam",Canada,CAN,DRA
sr:competitor:223714,"Piros, Zsombor",Hungary,HUN,PIR
sr:competitor:157808,"Harris, Lloyd",South Africa,ZAF,HAR
sr:competitor:337601,"Bu, Yunchaokete",China,CHN,YUN
sr:competitor:903987,"Landaluce, Martin",Spain,ESP,LAN
sr:competitor:89632,"Jarry, Nicolas",Chile,CHL,JAR
sr:competitor:14844,"Monfils, Gael",France,FRA,MON
sr:competitor:213170,"Blanchet, Ugo",France,FRA,BLA
sr:competitor:163636,"Klein, Lukas",Slovakia,SVK,KLE
sr:competitor:25838,"Goffin, David",Belgium,BEL,GOF
sr:competitor:682911,"Faria, Jaime",Portugal,PRT,FAR
sr:competitor:801386,"Lajal, Mark",Estonia,EST,LAJ
sr:competitor:57289,"Dellien, Hugo",Bolivia,BOL,DEL
sr:competitor:298122,"Zeppieri, Giulio",Italy,ITA,ZEP
sr:competitor:36300,"Travaglia, Stefano",Italy,ITA,TRA
sr:competitor:798876,"Smith, Colton",USA,USA,SMI
sr:competitor:58369,"Bolt, Alex",Australia,AUS,BOL
sr:competitor:893391,"Sakamoto, Rei",Japan,JPN,SAK
sr:competitor:51141,"Carballes Baena, Roberto",Spain,ESP,CAR
sr:competitor:59281,"Nishioka, Yoshihito",Japan,JPN,NIS
sr:competitor:722431,"Mikrut, Luka",Croatia,HRV,MIK
sr:competitor:603096,"Riedi, Leandro",Switzerland,CHE,RIE
sr:competitor:83661,"Ymer, Elias",Sweden,SWE,YME
sr:competitor:539343,"Kym, Jerome",Switzerland,CHE,KYM
sr:competitor:603106,"Samuel, Toby",Great Britain,GBR,SAM
sr:competitor:321667,"Mayot, Harold",France,FRA,MAY
sr:competitor:517028,"Barrena, Alex",Argentina,ARG,BAR
sr:competitor:603098,"Fery, Arthur",Great Britain,GBR,FER
sr:competitor:739649,"Den Ouden, Guy",Netherlands,NLD,DEN
sr:competitor:938667,"Schwaerzler, Joel",Austria,AUT,SCH
sr:competitor:212004,"Rodionov, Jurij",Austria,AUT,ROD
sr:competitor:64580,"Coric, Borna",Croatia,HRV,COR
sr:competitor:116616,"Clarke, Jay",Great Britain,GBR,CLA
sr:competitor:283759,"Chidekh, Clement",France,FRA,CHI
sr:competitor:124916,"Gojo, Borna",Croatia,HRV,GOJ
sr:competitor:146040,"Gomez, Federico Agustin",Argentina,ARG,GOM
sr:competitor:132558,"Kolar, Zdenek",Czechia,CZE,KOL
sr:competitor:233184,"Glinka, Daniil",Estonia,EST,GLI
sr:competitor:138528,"Mejia, Nicolas",Colombia,COL,MEJ
sr:competitor:100069,"Sachko, Vitaliy",Ukraine,UKR,SAC
sr:competitor:17080,"Tomic, Bernard",Australia,AUS,TOM
sr:competitor:44553,"Herbert, Pierre-Hugues",France,FRA,HER
sr:competitor:225052,"Tabur, Clement",France,FRA,TAB
sr:competitor:861511,"Engel, Justin",Germany,DEU,ENG
sr:competitor:371448,"Llamas Ruiz, Pablo",Spain,ESP,LLA
sr:competitor:169486,"Olivieri, Genaro Alberto",Argentina,ARG,OLI
sr:competitor:619900,"Gigante, Matteo",Italy,ITA,GIG
sr:competitor:107357,"Grenier, Hugo",France,FRA,GRE
sr:competitor:276685,"Skatov, Timofey",Kazakhstan,KAZ,SKA
sr:competitor:240876,"Crawford, Oliver",Great Britain,GBR,CRA
sr:competitor:226124,"Holmgren, August",Denmark,DNK,HOL
sr:competitor:872497,"Basavareddy, Nishesh",USA,USA,BAS
sr:competitor:44549,"Cecchinato, Marco",Italy,ITA,CEC
sr:competitor:145130,"Molcan, Alex",Slovakia,SVK,MOL
sr:competitor:16375,"Evans, Daniel",Great Britain,GBR,EVA
sr:competitor:48626,"Giustino, Lorenzo",Italy,ITA,GIU
sr:competitor:917921,"Cina, Federico",Italy,ITA,CIN
sr:competitor:195458,"Added, Dan",France,FRA,ADD
sr:competitor:97231,"Djere, Laslo",Serbia,SRB,DJE
sr:competitor:834054,"Prado Angelo, Juan Carlos",Bolivia,BOL,PRA
sr:competitor:389114,"Guillen Meza, Alvaro",Ecuador,ECU,GUI
sr:competitor:113979,"Ficovich, Juan Pablo",Argentina,ARG,FIC
sr:competitor:187689,"Galarneau, Alexis",Canada,CAN,GAL
sr:competitor:145108,"Bertola, Remy",Switzerland,CHE,BER
sr:competitor:240264,"Reis Da Silva, Joao Lucas",Brazil,BRA,REI
sr:competitor:870877,"Bailly, Gilles Arnaud",Belgium,BEL,ARN
sr:competitor:506300,"Bueno, Gonzalo",Peru,PER,BUE
sr:competitor:915153,"Dodig, Matej",Croatia,HRV,DOD
sr:competitor:220588,"Hsu, Yu Hsiou",Chinese Taipei,TPE,HSU
sr:competitor:124930,"Safiullin, Roman",Neutral,,SAF
sr:competitor:145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE
sr:competitor:686709,"Simakin, Ilia",Neutral,,SIM
sr:competitor:266711,"Pavlovic, Luka",France,FRA,PAV
sr:competitor:515478,"Sakellaridis, Stefanos",Greece,GRC,SAK
sr:competitor:947875,"Zhou, Yi",China,CHN,ZHO
sr:competitor:353550,"Loffhagen, George",Great Britain,GBR,LOF
sr:competitor:168420,"Andrade, Andres",Ecuador,ECU,AND
sr:competitor:92074,"Galan, Daniel Elahi",Colombia,COL,GAL
sr:competitor:847592,"Midon, Lautaro",Argentina,ARG,MID
sr:competitor:371476,"Diaz Acosta, Facundo",Argentina,ARG,DIA
sr:competitor:675173,"Neumayer, Lukas",Austria,AUT,NEU
sr:competitor:39726,"Kubler, Jason",Australia,AUS,KUB
sr:competitor:185434,"Rodriguez Taverna, Santiago",Argentina,ARG,ROD
sr:competitor:226050,"Holt, Brandon",USA,USA,HOL
sr:competitor:50901,"Popko, Dmitry",Kazakhstan,KAZ,POP
sr:competitor:284801,"Boyer, Tristan",USA,USA,BOY
sr:competitor:43761,"Collarini, Andrea",Argentina,ARG,COL
sr:competitor:63090,"Fatic, Nerman",Bosnia & Herzegovina,BIH,FAT
sr:competitor:157302,"Watanuki, Yosuke",Japan,JPN,WAT
sr:competitor:82579,"Uchida, Kaichi",Japan,JPN,UCH
sr:competitor:161262,"Seyboth Wild, Thiago",Brazil,BRA,SEY
sr:competitor:66484,"Ferreira Silva, Frederico",Portugal,PRT,FER
sr:competitor:325737,"Moro Canas, Alejandro",Spain,ESP,MOR
sr:competitor:121668,"Meligeni Alves, Felipe",Brazil,BRA,MEL
sr:competitor:434058,"Boscardin Dias, Pedro",Brazil,BRA,BOS
sr:competitor:47603,"Monteiro, Thiago",Brazil,BRA,MON
sr:competitor:279295,"Jianu, Filip Cristian",Romania,ROU,JIA
sr:competitor:54955,"Coppejans, Kimmer",Belgium,BEL,COP
sr:competitor:251091,"Noguchi, Rio",Japan,JPN,NOG
sr:competitor:675175,"McCabe, James",Australia,AUS,MCC
sr:competitor:565070,"Monday, Johannus",Great Britain,GBR,MON
sr:competitor:787144,"Gentzsch, Tom",Germany,DEU,GEN
sr:competitor:76515,"Gakhov, Ivan",Neutral,,GAK
sr:competitor:381022,"Wendelken, Harry",Great Britain,GBR,WEN
sr:competitor:414501,"Houkes, Max",Netherlands,NLD,HOU
sr:competitor:501414,"Gill, Felix",Great Britain,GBR,GIL
sr:competitor:251029,"Martin Tiffon, Pol",Spain,ESP,MAR
sr:competitor:52276,"Krueger, Mitchell",USA,USA,KRU
sr:competitor:720613,"ToPo, Marko",Germany,DEU,TOP
sr:competitor:652092,"Cassone, Murphy",USA,USA,CAS
sr:competitor:216502,"Broom, Charles",Great Britain,GBR,BRO
sr:competitor:229022,"Squire, Henri",Germany,DEU,SQU
sr:competitor:1034817,"Dedura-Palomero, Diego",Germany,DEU,DED
sr:competitor:199196,"Sanchez Izquierdo, Nikolas",Spain,ESP,SAI
sr:competitor:721347,"Shang, Juncheng",China,CHN,SHA
sr:competitor:91240,"Peniston, Ryan",Great Britain,GBR,PEN
sr:competitor:66086,"Kicker, Nicolas",Argentina,ARG,KIC
sr:competitor:163438,"Sun, Fajing",China,CHN,SUN
sr:competitor:77007,"Kozlov, Stefan",USA,USA,KOZ
sr:competitor:345576,"Michalski, Daniel",Poland,POL,MIC
sr:competitor:289105,"Onclin, Gauthier",Belgium,BEL,ONC
sr:competitor:269523,"Bax, Florent",France,FRA,BAX
sr:competitor:679701,"Gueymard Wayenburg, Sascha",France,FRA,GUE
sr:competitor:75813,"Zhang, Zhizhen",China,CHN,ZHA
sr:competitor:948185,"Mrva, Maxim",Czechia,CZE,MRV
sr:competitor:873695,"Blanch, Darwin",USA,USA,BLA
sr:competitor:603420,"Martin, Andres",USA,USA,MAR
sr:competitor:197674,"Damas, Miguel",Spain,ESP,DAM
sr:competitor:880089,"Pereira, Tiago",Portugal,PRT,PER
sr:competitor:65606,"Agamenone, Franco",Italy,ITA,AGA
sr:competitor:897995,"Brunclik, Petr",Czechia,CZE,BRU
sr:competitor:131566,"Nagal, Sumit",India,IND,NAG
sr:competitor:809320,"Butvilas, Edas",Lithuania,LTU,BUT
sr:competitor:341188,"Justo, Guido Ivan",Argentina,ARG,JUS
sr:competitor:350752,"Purtseladze, Saba",Georgia,GEO,PUR
sr:competitor:47764,"Broady, Liam",Great Britain,GBR,BRO
sr:competitor:218538,"Kotov, Pavel",Neutral,,KOT
sr:competitor:515510,"Heide, Gustavo",Brazil,BRA,HEI
sr:competitor:16683,"Kukushkin, Mikhail",Kazakhstan,KAZ,KUK
sr:competitor:603820,"Coulibaly, Eliakim",Cote d’Ivoire,CIV,COU
sr:competitor:242548,"Jubb, Paul",Great Britain,GBR,JUB
sr:competitor:679699,"Bertrand, Robin",France,FRA,BER
sr:competitor:321665,"Marmousez, Lilian",France,FRA,MAR
sr:competitor:72248,"Varillas, Juan Pablo",Peru,PER,VAR
sr:competitor:82157,"Marcondes, Igor",Brazil,BRA,MAR
sr:competitor:530317,"Rincon, Daniel",Spain,ESP,RIN
sr:competitor:103625,"Geerts, Michael",Belgium,BEL,GEE
sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN,HAS
sr:competitor:101157,"Rybakov, Alex",USA,USA,RYB
sr:competitor:580167,"Nedic, Andrej",Bosnia & Herzegovina,BIH,NED
sr:competitor:50139,"Gombos, Norbert",Slovakia,SVK,GOM
sr:competitor:82133,"Dellien, Murkel",Bolivia,BOL,DEV
sr:competitor:42152,"Napolitano, Stefano",Italy,ITA,NAP
sr:competitor:927343,"Cadenasso, Gianluca",Italy,ITA,CAD
sr:competitor:284835,"Smith, Keegan",USA,USA,SMI
sr:competitor:286541,"Zhukayev, Beibit",Kazakhstan,KAZ,ZHU
sr:competitor:809324,"Pacheco Mendez, Rodrigo",Mexico,MEX,PAC
sr:competitor:221538,"Berrettini, Jacopo",Italy,ITA,BER
sr:competitor:210502,"Kopp, Sandro",Austria,AUT,KOP
sr:competitor:428657,"Shelbayh, Abdullah",Jordan,JOR,SHE
sr:competitor:275393,"Boitan, Gabi Adrian",Romania,ROU,BOI
sr:competitor:46390,"Uchiyama, Yasutaka",Japan,JPN,UCH
sr:competitor:461029,"Andaloro, Fabrizio",Italy,ITA,AND
sr:competitor:373348,"Pucinelli de Almeida, Matheus",Brazil,BRA,PDA
sr:competitor:83263,"Santillan, Akira",Japan,JPN,SAN
sr:competitor:51009,"Kuzmanov, Dimitar",Bulgaria,BGR,KUZ
sr:competitor:157394,"Rosenkranz, Mats",Germany,DEU,ROS
sr:competitor:404791,"Basing, Max",Great Britain,GBR,BAS
sr:competitor:226132,"Ajdukovic, Duje",Croatia,HRV,AJD
sr:competitor:763106,"Barton, Hynek",Czechia,CZE,BAR
sr:competitor:663757,"Jones, Maximus",Thailand,THA,JON
sr:competitor:155684,"Tokuda, Renta",Japan,JPN,TOK
sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA,BLA
sr:competitor:450343,"Hussey, Giles",Great Britain,GBR,HUS
sr:competitor:48225,"Dutra Da Silva, Daniel",Brazil,BRA,DUT
sr:competitor:81271,"Hemery, Calvin",France,FRA,HEM
sr:competitor:305776,"Soto, Matias",Chile,CHL,SOT
sr:competitor:768772,"Bar Biryukov, Petr",Neutral,,BAR
sr:competitor:23670,"Stebe, Cedrik-Marcel",Germany,DEU,STE
sr:competitor:675527,"Ghibaudo, Antoine",France,FRA,GHI
sr:competitor:299818,"Henning, Philip",South Africa,ZAF,HEN
sr:competitor:402317,"Dostanic, Stefan",USA,USA,DOS
sr:competitor:38180,"Mena, Facundo",Argentina,ARG,MEN
sr:competitor:812472,"Tarvet, Oliver",Great Britain,GBR,TAR
sr:competitor:373852,"Zink, Tyler",USA,USA,ZIN
sr:competitor:305558,"Roncadelli, Franco",Uruguay,URY,RON
sr:competitor:452767,"Cuenin, Sean",France,FRA,CUE
sr:competitor:208165,"Fomin, Sergey",Uzbekistan,UZB,FOM
sr:competitor:441534,"Krumich, Martin",Czechia,CZE,KRU
sr:competitor:496346,"Stricker, Dominic",Switzerland,CHE,STR
sr:competitor:685469,"Kasnikowski, Maks",Poland,POL,KAS
sr:competitor:574371,"Torres, Juan Bautista",Argentina,ARG,TOR
sr:competitor:342826,"Trotter, James Kent",Japan,JPN,TRO
sr:competitor:205773,"Sanchez Jover, Carlos",Spain,ESP,SAN
sr:competitor:785974,"La Serna, Juan Manuel",Argentina,ARG,LA
sr:competitor:130436,"Habib, Hady",Lebanon,LBN,HAB
sr:competitor:97647,"Kwon, Soonwoo",Republic of Korea,KOR,KWON
sr:competitor:387066,"Forejtek, Jonas",Czechia,CZE,FOR
sr:competitor:240916,"Erhard, Mathys",France,FRA,ERH
sr:competitor:655825,"Paris, Tom",France,FRA,PAR
sr:competitor:583711,"Xilas, Ioannis",Greece,GRC,XIL
sr:competitor:145122,"Martineau, Matteo",France,FRA,MAR
sr:competitor:303862,"Johns, Garrett",USA,USA,JOH
sr:competitor:620338,"Sharipov, Marat",Neutral,,SHA
sr:competitor:131442,"Mmoh, Michael",USA,USA,MMO
sr:competitor:152864,"Prihodko, Oleg",Ukraine,UKR,PRI
sr:competitor:163996,"Wu, Tung-Lin",Chinese Taipei,TPE,TUN
sr:competitor:312088,"Ilagan, Andre",USA,USA,ILA
sr:competitor:219534,"Broska, Florian",Germany,DEU,BRO
sr:competitor:791648,"Piraino, Gabriele",Italy,ITA,PIR
sr:competitor:262679,"Gray, Alastair",Great Britain,GBR,GRA
sr:competitor:220932,"Shin, Sanhui",Republic of Korea,KOR,SHI
sr:competitor:210592,"Ribeiro, Eduardo",Brazil,BRA,RIB
sr:competitor:53483,"Masur, Daniel",Germany,DEU,MAS
sr:competitor:205767,"Cretu, Cezar (2001)",Romania,ROU,CRE
sr:competitor:80665,"Polmans, Marc",Australia,AUS,POL
sr:competitor:660427,"Milavsky, Daniel",USA,USA,MIL
sr:competitor:50847,"Yevseyev, Denis",Kazakhstan,KAZ,YEV
sr:competitor:530313,"Perot, Raphael",France,FRA,PER
sr:competitor:85877,"Villanueva, Gonzalo",Argentina,ARG,VIL
sr:competitor:675129,"Bielinskyi, Viacheslav",Ukraine,UKR,BIE
sr:competitor:745797,"Brunold, Mika",Switzerland,CHE,BRU
sr:competitor:177686,"Barranco Cosano, Javier",Spain,ESP,BAR
sr:competitor:516848,"Bicknell, Blaise",Jamaica,JAM,BIC
sr:competitor:904525,"Svajda, Trevor",USA,USA,SVA
sr:competitor:14414,"Gasquet, Richard",France,FRA,GAS
sr:competitor:228372,"Soriano Barrera, Adria",Colombia,COL,SOR
sr:competitor:312728,"Stewart, Hamish",Great Britain,GBR,STE
sr:competitor:422993,"Alcala Gurri, Max",Spain,ESP,ALC
sr:competitor:915433,"Matsuoka, Hayato",Japan,JPN,MAT
sr:competitor:268441,"Gadamauri, Buvaysar",Belgium,BEL,GAD
sr:competitor:853643,"Romano, Filippo",Italy,ITA,ROM
sr:competitor:265559,"Arnaboldi, Federico",Italy,ITA,ARN
sr:competitor:123694,"Brancaccio, Raul",Italy,ITA,BRA
sr:competitor:57155,"Jorda Sanchis, David",Spain,ESP,JOR
sr:competitor:211992,"Alkaya, Mert",Turkiye,TUR,ALK
sr:competitor:79467,"Jasika, Omar",Australia,AUS,JAS
sr:competitor:617530,"Wallin, Olle",Sweden,SWE,WAL
sr:competitor:1141275,"Kouame, Moise",France,FRA,KOU
sr:competitor:245779,"Martin, Dan",Canada,CAN,MAR
sr:competitor:250231,"Shimizu, Yuta",Japan,JPN,SHI
sr:competitor:307112,"Erel, Yanki",Turkiye,TUR,ERE
sr:competitor:983475,"Ribecai, Michele",Italy,ITA,RIB
sr:competitor:38183,"Bagnis, Facundo",Argentina,ARG,BAG
sr:competitor:206879,"Eubanks, Christopher",USA,USA,EUB
sr:competitor:605854,"Maxted, Lui",Great Britain,GBR,MAX
sr:competitor:135778,"Poullain, Lucas",France,FRA,POU
sr:competitor:51100,"Roca Batalla, Oriol",Spain,ESP,ROC
sr:competitor:457059,"Montes-de la Torre, Inaki",Spain,ESP,MON
sr:competitor:686911,"Poljicak, Mili",Croatia,HRV,POL
sr:competitor:126402,"Denolly, Corentin",France,FRA,DEN
sr:competitor:16822,"Ramos-Vinolas, Albert",Spain,ESP,RAM
sr:competitor:861461,"Caniato, Carlo Alberto",Italy,ITA,CAN
sr:competitor:283423,"Palosi, Stefan",Romania,ROU,PAL
sr:competitor:423131,"Picchione, Andrea",Italy,ITA,PIC
sr:competitor:652290,"Ambrogi, Luciano Emanuel",Argentina,ARG,AMB
sr:competitor:598418,"Banerjee, Samir",USA,USA,BAN
sr:competitor:83211,"Chung, Hyeon",Republic of Korea,KOR,CHU
sr:competitor:229024,"Zahraj, Patrick",Germany,DEU,ZAH
sr:competitor:983487,"Faurel, Thomas",France,FRA,FAU
sr:competitor:24415,"Martin, Andrej",Slovakia,SVK,MAR
sr:competitor:313891,"Weber, Arthur",France,FRA,WEB
sr:competitor:193824,"Guerrieri, Andrea",Italy,ITA,GUE
